"Date","Class","MAXLOC","AVGLOC","Index"
"2013-03-25 06:48","ReadOnlyBookieTest.java","5995","6","4"
"2014-07-15 09:09","BenchThroughputLatency.java","110113","41",""
"2014-01-21 17:26","ReadOnlyBookieTest.java","8297","7","6"
"2016-10-13 07:50","TestRackawareEnsemblePlacementPolicy.java","119510","170",""
"2014-12-09 19:57","AuditorRollingRestartTest.java","1997","0",""
"2017-05-15 19:52","NetworkLessBookieTest.java","4280","0",""
"2014-12-10 19:43","LedgerDirsManagerTest.java","115313","2",""
"2012-05-09 13:20","TestClient.java","12195","381","1"
"2012-06-19 12:39","BookieReadWriteTest.java","17334","2","2"
"2016-10-13 07:50","NetworkTopology.java","112110","0",""
"2012-05-25 17:13","BookieReadWriteTest.java","12570","2","1"
"2012-09-11 10:30","TestClient.java","14486","129","2"
"2014-01-21 05:05","BookieReadWriteTest.java","19367","-419","6"
"2017-05-15 19:52","CRC32DigestManager.java","43342","-442",""
"2013-02-08 19:08","TestClient.java","17898","129","4"
"2013-05-31 12:02","BookieReadWriteTest.java","18953","2","5"
"2012-11-26 16:42","LedgerDeleteTest.java","17067","484","2"
"2012-05-25 17:13","AsyncCallback.java","12570","38","1"
"2011-11-17 09:59","BufferedChannel.java","2736","0",""
"2013-05-04 14:22","FileInfo.java","18944","6","5"
"2013-10-22 16:21","FileInfo.java","19439","213","6"
"2012-03-15 10:37","LedgerDeleteTest.java","11307","38","1"
"2014-01-22 14:35","LedgerDeleteTest.java","19065","483","6"
"2013-05-06 19:32","AsyncCallback.java","18733","-210","5"
"2012-03-29 15:18","FileInfo.java","11830","270","1"
"2017-04-20 19:55","PerChannelBookieClient.java","119734","-8",""
"2012-12-18 13:04","FileInfo.java","17339","6","2"
"2013-05-31 12:02","LedgerDeleteTest.java","18788","483","5"
"2017-06-01 23:58","ReadEntryProcessor.java","115213","226",""
"2015-09-15 10:38","LedgerManager.java","20183","255",""
"2016-07-14 23:02","TestClient.java","110113","129",""
"2014-07-24 01:41","BookieReadWriteTest.java","20055","-419",""
"2012-02-01 16:19","CRC32DigestManager.java","4463","0","1"
"2017-05-16 00:31","EntryKeyValue.java","112644","0",""
"2013-10-29 05:14","PerChannelBookieClient.java","19516","-19","6"
"2014-02-05 22:43","PerChannelBookieClient.java","19941","-19","7"
"2017-07-28 20:12","AsyncCallback.java","113924","191",""
"2014-01-17 18:13","LedgerManager.java","19187","255","6"
"2016-03-08 06:49","LedgerDeleteTest.java","19472","0",""
"2013-04-04 11:21","LedgerManager.java","18700","255","5"
"2013-09-11 00:34","PerChannelBookieClient.java","19177","-8","5"
"2013-01-10 19:13","PerChannelBookieClient.java","17767","151","2"
"2013-07-20 19:59","BufferedChannel.java","18843","0","5"
"2017-05-16 00:31","FileInfo.java","115875","213",""
"2017-03-23 15:59","ZooKeeperClient.java","113156","566",""
"2012-12-24 05:50","LedgerManager.java","17146","1","2"
